Year,Level of institution,Type of aid awarded,Family income level,Public Average cost of attendance,Public Average grant/scholarship aid,Public Net price,Private Nonprofit Average cost of attendance,Private Nonprofit Average grant/scholarship aid,Private Nonprofit Net price,Private For-profit Average cost of attendance,Private For-profit Average grant/scholarship aid,Private For-profit Net price
22-23,Less-than-2-year,Students awarded Title IV aid,"$0-30,000",23448,7419,16029,23769,4949,18821,32035,5882,26153
22-23,Less-than-2-year,Students awarded Title IV aid,"$30,001-48,000",23448,5356,18091,23769,14592,9177,32035,6367,25668
22-23,Less-than-2-year,Students awarded Title IV aid,"$48,001-75,000",23448,5138,18310,23769,1584,22185,32035,4465,27571
22-23,Less-than-2-year,Students awarded Title IV aid,"$75,001-110,000",23448,1804,21643,23769,8300,15469,32035,2679,29356
22-23,Less-than-2-year,Students awarded Title IV aid,"$110,001 and more",23448,2669,20779,23769,5830,17939,32035,609,31426
23-24,4-year,Students awarded any grant aid,All family income levels,22724,9308,13416,48690,24237,24453,36073,7509,28564
23-24,4-year,Students awarded Title IV aid,All family income levels,22799,9790,13009,48826,25187,23638,36045,7038,29007
23-24,4-year,Students awarded Title IV aid,"$0-30,000",22799,13376,9423,48826,30833,17993,36045,8373,27672
23-24,4-year,Students awarded Title IV aid,"$30,001-48,000",22799,12841,9959,48826,31280,17545,36045,7756,28289
23-24,4-year,Students awarded Title IV aid,"$48,001-75,000",22799,10305,12495,48826,29566,19259,36045,6465,29580
23-24,4-year,Students awarded Title IV aid,"$75,001-110,000",22799,6801,15998,48826,26736,22089,36045,4547,31498
23-24,4-year,Students awarded Title IV aid,"$110,001 and more",22799,3662,19138,48826,21626,27199,36045,2775,33270
23-24,2-year,Students awarded any grant aid,All family income levels,15203,6678,8524,31895,9231,22664,31587,7227,24359
23-24,2-year,Students awarded Title IV aid,All family income levels,15440,7476,7964,32139,8958,23180,31352,6335,25016
23-24,2-year,Students awarded Title IV aid,"$0-30,000",15440,8749,6691,32139,10682,21457,31352,7490,23862
23-24,2-year,Students awarded Title IV aid,"$30,001-48,000",15440,8394,7046,32139,10452,21686,31352,6987,24364
23-24,2-year,Students awarded Title IV aid,"$48,001-75,000",15440,6423,9017,32139,8579,23559,31352,5287,26065
23-24,2-year,Students awarded Title IV aid,"$75,001-110,000",15440,4162,11278,32139,7062,25076,31352,3598,27753
23-24,2-year,Students awarded Title IV aid,"$110,001 and more",15440,2260,13180,32139,4043,28095,31352,1558,29794
23-24,Less-than-2-year,Students awarded any grant aid,All family income levels,24738,5849,18889,33646,15135,18511,30494,5306,25188
23-24,Less-than-2-year,Students awarded Title IV aid,All family income levels,24922,6196,18726,27129,5946,21183,30535,5107,25427
23-24,Less-than-2-year,Students awarded Title IV aid,"$0-30,000",24922,7053,17869,27129,15755,11374,30535,5398,25137
23-24,Less-than-2-year,Students awarded Title IV aid,"$30,001-48,000",24922,5621,19301,27129,11684,15445,30535,5709,24826
23-24,Less-than-2-year,Students awarded Title IV aid,"$48,001-75,000",24922,6164,18758,27129,10509,16620,30535,3944,26590
23-24,Less-than-2-year,Students awarded Title IV aid,"$75,001-110,000",24922,3726,21196,27129,5189,21940,30535,2122,28412
23-24,Less-than-2-year,Students awarded Title IV aid,"$110,001 and more",24922,1598,23324,27129,3434,23695,30535,1698,28837
