Year,Level of institution,Control of institution,Gender,All students,American Indian or Alaska Native,Asian,Black or African American,Hispanic or Latino,Native Hawaiian or Other Pacific Islander,White,Two or more races,Race/ethnicity unknown,Nonresident
20-21,All 2-year institutions (cohort year 2018),Private for-profit,Total,61.16833981000001,62.564766840000004,74.45421962000003,49.14225941,65.17266975,63.10861423000001,65.73855121,55.46768475999999,62.327127659999995,70.26548672999999
20-21,All 2-year institutions (cohort year 2018),Private for-profit,Men,60.51249788,57.50394944999999,71.03548153999999,49.71067295,62.600264429999996,63.01369863,65.95006935,54.88767455999999,56.72570608000001,70.88122605000001
20-21,All 2-year institutions (cohort year 2018),Private for-profit,Women,61.63736416,66.08122942000003,77.25118483,48.77814388000001,66.89484244,63.17460317,65.54309516000001,55.940594059999995,64.48167925000001,69.73684210999998
20-21,Less-than-2-year institutions (cohort year 2018),Total,Total,68.58242846,NA,NA,NA,NA,NA,NA,NA,NA,NA
20-21,Less-than-2-year institutions (cohort year 2018),Public,Total,70.35857034999998,NA,NA,NA,NA,NA,NA,NA,NA,NA
20-21,Less-than-2-year institutions (cohort year 2018),Private nonprofit,Total,72.55982097,NA,NA,NA,NA,NA,NA,NA,NA,NA
20-21,Less-than-2-year institutions (cohort year 2018),Private for-profit,Total,68.11216457,NA,NA,NA,NA,NA,NA,NA,NA,NA
21-22,All 4-year institutions1 (cohort year 2016),Total,Total,61.1,37.8,75.8,42.5,54.1,47.4,65.4,57,54,70.7
21-22,All 4-year institutions1 (cohort year 2016),Total,Women,64.1,40.8,78.9,47.1,57.7,51.3,68.3,59.9,56.3,75.4
21-22,All 4-year institutions1 (cohort year 2016),Total,Men,57.6,34,72.2,36.4,49.2,42.8,62.1,53.3,51.3,66.7
21-22,All 4-year institutions1 (cohort year 2016),Public,Total,59.2,36.7,73.7,42.1,51.7,44.2,63.3,54.5,57.5,67.3
21-22,All 4-year institutions1 (cohort year 2016),Public,Women,62.1,39.3,77,46.6,55.6,48.2,66.1,57.2,59.5,71.6
21-22,All 4-year institutions1 (cohort year 2016),Public,Men,55.8,33.3,70.2,35.7,46.6,40,60,51,55.3,64.1
21-22,All 4-year institutions1 (cohort year 2016),Private nonprofit,Total,67.8,42.2,82.2,46,63.3,56.1,71.5,65.9,58.5,76.5
21-22,All 4-year institutions1 (cohort year 2016),Private nonprofit,Women,70.9,46,84,51.6,66.1,60.8,74.3,68.9,61.7,81.2
21-22,All 4-year institutions1 (cohort year 2016),Private nonprofit,Men,63.8,37.6,79.5,39.1,59.3,50,68,61.7,54.6,72
21-22,All 4-year institutions1 (cohort year 2016),Private for-profit,Total,42.5,35.7,69.9,31.2,52.3,44.5,44.9,39.2,28.8,62.2
21-22,All 4-year institutions1 (cohort year 2016),Private for-profit,Women,43.7,39.9,70.8,32.4,54.3,45.1,45.1,40,28.2,68.5
21-22,All 4-year institutions1 (cohort year 2016),Private for-profit,Men,40.8,27.3,68.7,29.6,49.3,43.4,44.6,38.3,29.4,54
21-22,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2016),Total,Total,64.6,42.6,78,45.9,59.3,51.6,68,60.5,58.1,72.9
21-22,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2016),Total,Women,67.5,45.3,80.9,50.9,62.7,55.6,70.7,63.3,60.5,77.7
21-22,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2016),Total,Men,61.1,39,74.7,39.2,54.6,46.8,64.7,56.7,55.2,68.7
21-22,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2016),Public,Total,63.5,41.8,76.5,46.2,58.1,50.5,66.5,58.5,63.3,70.5
21-22,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2016),Public,Women,66.2,44,79.6,50.6,61.8,54.1,69.2,61.2,64.9,75.3
21-22,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2016),Public,Men,60.2,38.9,73.3,39.7,53.2,46.5,63.4,55.1,61.6,66.9
21-22,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2016),Private nonprofit,Total,68.6,47.2,82.5,47.3,64.4,56.7,72,66.6,59.4,76.7
21-22,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2016),Private nonprofit,Women,71.9,51.8,84.2,53.7,67.2,61.4,74.7,69.7,62.8,81.3
21-22,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2016),Private nonprofit,Men,64.5,41.5,80,39.7,60.4,50.5,68.4,62.3,55.2,72.3
21-22,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2016),Private for-profit,Total,33.6,21.5,61.4,24.3,39,27.8,35,31.8,23.2,61.6
21-22,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2016),Private for-profit,Women,32.8,21.3,62,24.5,38.7,29.4,31.8,31,20.7,68.2
21-22,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2016),Private for-profit,Men,34.5,21.7,60.8,24.1,39.3,25.9,38.2,32.7,25.5,51.9
21-22,All 2-year institutions (cohort year 2019),Total,Total,35.5,31.3,45.3,27.1,32.6,29.4,39.4,30.2,37.4,41
21-22,All 2-year institutions (cohort year 2019),Total,Women,37,32.1,49.8,28.8,35.5,30.7,40.1,31.5,40.1,45.6
21-22,All 2-year institutions (cohort year 2019),Total,Men,33.8,30.4,41.1,24.9,29.2,27.9,38.8,28.8,34.5,36.8
21-22,All 2-year institutions (cohort year 2019),Public,Total,31.2,26.4,42.3,20.7,26.9,22.5,36.1,26.9,29,39.9
21-22,All 2-year institutions (cohort year 2019),Public,Women,32.4,27.2,46.5,21.7,29.3,23.2,36.5,28.3,30.6,44.6
21-22,All 2-year institutions (cohort year 2019),Public,Men,30,25.5,38.6,19.6,24,21.7,35.7,25.3,27.6,35.8
21-22,All 2-year institutions (cohort year 2019),Private nonprofit,Total,58,44.2,85.5,44.9,61.8,51.9,65.9,48.1,58.4,74.1
21-22,All 2-year institutions (cohort year 2019),Private nonprofit,Women,57.3,45.7,84,45.3,59.9,45.7,64.9,48.8,58.7,72
21-22,All 2-year institutions (cohort year 2019),Private nonprofit,Men,60,38.6,88.4,43.6,64.1,87.5,68.6,47.1,56.9,77.1
21-22,All 2-year institutions (cohort year 2019),Private for-profit,Total,56.4,50.6,67.9,45.5,61,49.7,62.2,49.8,50.9,57.7
21-22,All 2-year institutions (cohort year 2019),Private for-profit,Women,56.7,50.6,68.8,45.3,62.3,49.4,62.5,49.6,52.4,55.3
21-22,All 2-year institutions (cohort year 2019),Private for-profit,Men,56,50.5,66.5,45.8,58.9,50.2,61.8,50.1,48.9,61.9
21-22,All less-than-2-year institutions (cohort year 2019),Total,Total,65.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
