year,state_or_jurisdiction,all_students_men,all_students_women,american_indian_or_alaska_native_men,american_indian_or_alaska_native_women,asian_men,asian_women,black_or_african_american_men,black_or_african_american_women,hispanic_or_latino_men,hispanic_or_latino_women,native_hawaiian_or_other_pacific_islander_men,native_hawaiian_or_other_pacific_islander_women,white_men,white_women,two_or_more_races_men,two_or_more_races_women,race_ethnicity_unknown_men,race_ethnicity_unknown_women,nonresident_men,nonresident_women
18-19,Washington,223578,280842,1862,3294,19369,24313,10233,11984,25578,37384,1266,1860,108126,139659,15008,20237,27055,28992,15081,13119
18-19,West Virginia,105093,99179,465,433,1989,1647,11408,9699,9013,6006,576,421,67703,70924,3454,3430,7193,4914,3292,1705
18-19,Wisconsin,185407,239501,1266,2042,7283,9564,9027,16255,13414,18804,210,200,134834,173070,5115,7168,5913,5850,8345,6548
18-19,Wyoming,20341,22621,251,359,139,240,338,186,1639,2016,38,40,15296,17178,566,683,1420,1543,654,376
19-20,Alabama,163945,222615,980,1233,3364,3989,32456,63000,6662,8640,215,247,100080,126453,4074,6125,9534,8833,6580,4095
19-20,Alaska,14773,24052,1364,2879,548,1019,381,673,986,1694,235,414,7812,12294,1206,2153,1951,2615,290,311
19-20,Arizona,350720,563567,6330,12540,13425,19129,31575,73077,80534,132108,1389,2326,155893,232727,12861,20773,35633,63061,13080,7826
19-20,Arkansas,78909,120079,554,842,1581,2024,11026,21684,5839,8389,109,182,52324,78304,3186,4562,1148,1490,3142,2602
19-20,California,1626248,2085712,5387,7663,237939,280413,94456,141210,610491,868031,7844,9157,417168,504647,68948,91311,94628,100957,89387,82323
19-20,Colorado,221297,296487,1841,2809,7746,10363,13796,23032,35893,53140,604,823,125965,158547,9094,12597,18231,29012,8127,6164
19-20,Connecticut,107493,152669,264,461,5841,7365,13289,23065,16038,25358,121,182,55363,75441,4487,6997,5078,7605,7012,6195
19-20,Delaware,29228,48183,161,325,1295,1631,5456,11078,2642,4704,70,130,15004,24704,940,1693,1133,1645,2527,2273
19-20,District of Columbia,45671,72570,121,289,2992,4502,8181,19936,4124,7211,70,129,19150,26402,1446,2560,3253,4675,6334,6866
19-20,Florida,617163,876897,1789,2518,22249,27427,92185,172896,170731,245119,1362,1724,252259,327853,19864,28435,25627,42819,31097,28106
19-20,Georgia,281143,422854,873,1398,19036,19677,72708,148324,24267,36134,350,697,131373,179702,8573,13040,6840,9784,17123,14098
19-20,Hawaii,30633,49583,56,126,9453,14432,704,753,3415,6506,1671,3168,4753,7448,7922,13343,774,1037,1885,2770
19-20,Idaho,76324,106235,468,751,1120,1726,962,968,6969,11341,326,442,53632,75863,3796,5228,3378,5012,5673,4904
19-20,Illinois,437426,588308,965,1336,31062,36110,45402,81948,79102,117499,544,740,222695,287974,11781,15844,18985,25337,26890,21520
19-20,Indiana,253926,334370,690,883,9358,9983,20959,40675,18462,24938,394,451,170704,218641,9395,13249,7573,14953,16391,10597
19-20,Iowa,125957,151250,477,604,3978,4359,7730,8395,8521,11115,210,196,85288,108785,2901,3954,9073,9165,7779,4677
19-20,Kansas,124435,158091,1390,1856,4075,4608,10376,11471,13048,17284,324,335,74975,100463,4868,6459,7225,8496,8154,7119
19-20,Kentucky,143302,194345,305,393,2939,3535,10775,17356,5418,7994,136,186,93584,139605,3949,6523,13449,13457,12747,5296
19-20,Louisiana,117382,195064,705,1276,3279,4116,29568,68106,6651,10612,615,1334,62375,92491,3431,5841,6028,7512,4730,3776
19-20,Maine,37256,57179,282,479,881,1430,1667,2001,1170,1482,39,64,26818,42163,984,1462,4528,7290,887,808
19-20,Maryland,209335,263402,576,835,16855,17940,49547,78602,21369,25164,602,521,88551,103206,8466,11040,10310,12135,13059,13959
19-20,Massachusetts,261423,360992,411,660,20947,27929,19952,31292,26064,44102,186,310,128269,178839,7598,11293,19333,30760,38663,35807
19-20,Michigan,292432,372554,1412,2272,13652,14711,29448,52054,16282,21478,324,361,187335,237193,10148,14738,15054,16075,18777,13672
19-20,Minnesota,196851,351756,1293,2448,11554,18003,24311,59926,11876,22574,314,603,118566,201389,6486,11543,13282,26784,9169,8486
19-20,Mississippi,83272,132336,372,649,1590,1898,26095,52426,2401,3515,71,82,46802,67229,1569,2391,2346,2594,2026,1552
19-20,Missouri,189262,266818,792,1251,6897,8332,19002,32601,11492,15060,377,432,125642,181128,6807,9668,7497,9676,10756,8670
19-20,Montana,26749,34319,1895,2953,444,819,329,219,1120,1409,70,51,19531,25330,1121,1366,1350,1620,889,552
19-20,Nebraska,74085,102172,497,915,2475,3044,4185,5618,7666,11221,118,192,49880,70667,2105,3157,3890,5017,3269,2341
19-20,Nevada,64179,93393,413,663,6825,9475,4694,8383,17270,27693,658,945,25926,34597,4388,6535,2861,3851,1144,1251
19-20,New Hampshire,93303,152325,386,775,2370,3103,8895,20883,7404,13487,192,409,56996,90290,1996,3785,11323,17430,3741,2163
19-20,New Jersey,242660,299571,504,599,23690,25065,26940,46541,44346,67672,495,581,110413,120287,5860,7467,15821,19701,14591,11658
19-20,New Mexico,65286,97960,5703,9722,1412,1938,2368,2500,28887,47329,154,191,19785,28133,1620,2305,3337,4156,2020,1686
19-20,New York,668421,901400,2084,3047,66961,81015,77642,134239,110456,169810,1016,1358,300643,377561,16496,24499,34341,44211,58782,65660
19-20,North Carolina,288508,430092,2597,4990,11248,13683,52971,103773,25685,38540,417,554,162171,225404,9208,15163,11864,17191,12347,10794
19-20,North Dakota,30524,34488,1084,1772,459,479,1247,934,1272,1353,39,45,21881,25989,1082,1273,1543,1503,1917,1140
19-20,Ohio,366268,499396,908,1267,11399,14708,37418,67279,16799,24751,475,515,248088,336362,12410,19421,18632,20284,20139,14809
19-20,Oklahoma,115023,152479,8042,12418,3669,4201,8896,12511,11688,16343,192,261,62819,83803,9710,14318,4134,4181,5873,4443
19-20,Oregon,136129,172071,1138,1826,7615,9611,3675,4056,17120,25476,796,954,76926,101022,7653,10243,14099,13588,7107,5295
19-20,Pennsylvania,363979,495150,646,897,21223,26758,34809,58489,25705,39820,364,436,221880,303003,11319,16590,18212,25489,29821,23668
19-20,Rhode Island,41388,55597,135,176,1762,2531,2973,4356,5033,8117,30,43,24080,31280,1348,2096,3717,4389,2310,2609
19-20,South Carolina,118538,179741,398,660,2480,3115,22716,47478,6838,9644,321,188,73954,104378,3938,6264,3648,5092,4245,2922
19-20,South Dakota,29959,38952,1277,2558,459,551,1301,1182,1133,1452,57,44,22847,30184,849,1140,780,944,1256,897
19-20,Tennessee,170877,247350,528,727,4982,6042,26362,51432,9091,12765,188,333,114077,157567,5328,7754,5115,6558,5206,4172
19-20,Texas,907051,1273995,3164,4345,63488,72690,100097,173227,341255,512143,1398,1652,311185,414939,25616,36087,19437,25084,41411,33828
19-20,United States,10980480,15111306,67351,108941,744443,895465,1177073,2122054,1970568,2898476,29819,39246,5384436,7176376,390905,563436,592114,776642,623771,530670
19-20,Utah,215855,300013,1360,2328,6387,8165,8777,16943,22754,32801,1582,1908,150070,202916,7535,10399,12134,20698,5256,3855
19-20,Vermont,24431,31278,84,104,692,865,1006,956,1489,1515,17,24,17874,23894,802,1173,1434,1757,1033,990
