year,level_of_institution,control_of_institution,gender,all_students,american_indian_or_alaska_native,asian,black_or_african_american,hispanic_or_latino,native_hawaiian_or_other_pacific_islander,white,two_or_more_races,race_ethnicity_unknown,nonresident,level_of_institution_footnote
21-22,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2016),Total,Total,64.6,42.6,78,45.9,59.3,51.6,68,60.5,58.1,72.9,
21-22,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2016),Total,Women,67.5,45.3,80.9,50.9,62.7,55.6,70.7,63.3,60.5,77.7,
21-22,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2016),Total,Men,61.1,39,74.7,39.2,54.6,46.8,64.7,56.7,55.2,68.7,
21-22,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2016),Public,Total,63.5,41.8,76.5,46.2,58.1,50.5,66.5,58.5,63.3,70.5,
21-22,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2016),Public,Women,66.2,44,79.6,50.6,61.8,54.1,69.2,61.2,64.9,75.3,
21-22,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2016),Public,Men,60.2,38.9,73.3,39.7,53.2,46.5,63.4,55.1,61.6,66.9,
21-22,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2016),Private nonprofit,Total,68.6,47.2,82.5,47.3,64.4,56.7,72,66.6,59.4,76.7,
21-22,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2016),Private nonprofit,Women,71.9,51.8,84.2,53.7,67.2,61.4,74.7,69.7,62.8,81.3,
21-22,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2016),Private nonprofit,Men,64.5,41.5,80,39.7,60.4,50.5,68.4,62.3,55.2,72.3,
21-22,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2016),Private for-profit,Total,33.6,21.5,61.4,24.3,39,27.8,35,31.8,23.2,61.6,
21-22,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2016),Private for-profit,Women,32.8,21.3,62,24.5,38.7,29.4,31.8,31,20.7,68.2,
21-22,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2016),Private for-profit,Men,34.5,21.7,60.8,24.1,39.3,25.9,38.2,32.7,25.5,51.9,
21-22,All 2-year institutions (cohort year 2019),Total,Total,35.5,31.3,45.3,27.1,32.6,29.4,39.4,30.2,37.4,41,
21-22,All 2-year institutions (cohort year 2019),Total,Women,37,32.1,49.8,28.8,35.5,30.7,40.1,31.5,40.1,45.6,
21-22,All 2-year institutions (cohort year 2019),Total,Men,33.8,30.4,41.1,24.9,29.2,27.9,38.8,28.8,34.5,36.8,
21-22,All 2-year institutions (cohort year 2019),Public,Total,31.2,26.4,42.3,20.7,26.9,22.5,36.1,26.9,29,39.9,
21-22,All 2-year institutions (cohort year 2019),Public,Women,32.4,27.2,46.5,21.7,29.3,23.2,36.5,28.3,30.6,44.6,
21-22,All 2-year institutions (cohort year 2019),Public,Men,30,25.5,38.6,19.6,24,21.7,35.7,25.3,27.6,35.8,
21-22,All 2-year institutions (cohort year 2019),Private nonprofit,Total,58,44.2,85.5,44.9,61.8,51.9,65.9,48.1,58.4,74.1,
21-22,All 2-year institutions (cohort year 2019),Private nonprofit,Women,57.3,45.7,84,45.3,59.9,45.7,64.9,48.8,58.7,72,
21-22,All 2-year institutions (cohort year 2019),Private nonprofit,Men,60,38.6,88.4,43.6,64.1,87.5,68.6,47.1,56.9,77.1,
21-22,All 2-year institutions (cohort year 2019),Private for-profit,Total,56.4,50.6,67.9,45.5,61,49.7,62.2,49.8,50.9,57.7,
21-22,All 2-year institutions (cohort year 2019),Private for-profit,Women,56.7,50.6,68.8,45.3,62.3,49.4,62.5,49.6,52.4,55.3,
21-22,All 2-year institutions (cohort year 2019),Private for-profit,Men,56,50.5,66.5,45.8,58.9,50.2,61.8,50.1,48.9,61.9,
21-22,All less-than-2-year institutions (cohort year 2019),Total,Total,65.2,,,,,,,,,,
21-22,All less-than-2-year institutions (cohort year 2019),Public,Total,66.8,,,,,,,,,,
21-22,All less-than-2-year institutions (cohort year 2019),Private nonprofit,Total,68.2,,,,,,,,,,
21-22,All less-than-2-year institutions (cohort year 2019),Private for-profit,Total,64.9,,,,,,,,,,
22-23,All 4-year institutions1 (cohort year 2017),Total,Total,61,37.9,75.8,41.8,53.4,48.8,65.6,57.2,54.9,71.1,
22-23,All 4-year institutions1 (cohort year 2017),Total,Men,57.3,34,72.1,35.8,48.3,46.5,62.1,53.5,51.3,67.4,
22-23,All 4-year institutions1 (cohort year 2017),Total,Women,64,40.8,79.1,46.3,57.2,50.7,68.5,60,58.1,75.4,
22-23,All 4-year institutions1 (cohort year 2017),Public,Total,58.8,34.8,73.9,40.5,50.9,45.5,63.4,54.6,56.3,67.3,
22-23,All 4-year institutions1 (cohort year 2017),Public,Men,55.2,31.3,70.2,34.4,45.5,43.6,59.9,51.2,53,64.4,
22-23,All 4-year institutions1 (cohort year 2017),Public,Women,61.8,37.5,77.5,44.8,54.9,47.3,66.5,57.3,59.4,70.9,
22-23,All 4-year institutions1 (cohort year 2017),Private nonprofit,Total,67.8,48.2,81.8,46.7,62.6,53.7,71.5,65.6,59.9,77,
22-23,All 4-year institutions1 (cohort year 2017),Private nonprofit,Men,63.8,42.8,79.2,39.5,58.2,50.4,68.1,61.4,55.2,72.6,
22-23,All 4-year institutions1 (cohort year 2017),Private nonprofit,Women,71.1,52.3,83.6,52.6,65.7,56.5,74.3,68.6,63.8,81.6,
22-23,All 4-year institutions1 (cohort year 2017),Private for-profit,Total,44.4,39,65.1,31.7,54.5,52.5,45.4,41.9,32.8,64.2,
22-23,All 4-year institutions1 (cohort year 2017),Private for-profit,Men,42.9,36.2,61.5,31.9,53.1,53,44.7,41.8,28.3,58.8,
22-23,All 4-year institutions1 (cohort year 2017),Private for-profit,Women,45.4,40.4,68,31.5,55.5,52.3,45.9,42,36,69.1,
22-23,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2017),Total,Total,64.5,41.3,78.3,45.4,58.6,50.5,68.1,60.5,58.8,73.5,
22-23,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2017),Total,Men,60.9,37.8,75,38.7,53.7,49.6,64.7,56.9,55.5,69.6,
22-23,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2017),Total,Women,67.5,43.7,81.1,50.3,62.2,51.2,71,63.2,61.7,78,
